'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

INFO_NOFUNDS	;Insufficient funds detected. The Collective notes your economic inefficiency
MUTUALDEFENSE_DECLINEREQUESTHELP	;The Collective is unable to commit forces at this time
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE	;Treaty violation logged. The Collective will factor your unreliability into all future calculations
PROTECTORATE_ACCEPT	;The Collective accepts your protectorate offer. Your military assets strengthen our network
PROTECTORATE_REJECT	;The Collective is self-sufficient. We decline your protectorate
FREETRADE_ACCEPT	;Free Trade Agreement accepted. The Collective anticipates measurable economic gains
FREETRADE_REJECT	;The Collective has no interest in free trade with you at this time.\n\nOur economic models do not support it
CANCELTREATY	;The Collective has voted to terminate our {0}.\n\nThis arrangement no longer serves our strategic objectives
CANCELTREATY_RESPONSE_FRIENDLY	;This is an unexpected decision.\n\nThe Collective had calculated this arrangement as mutually beneficial
CANCELTREATY_RESPONSE_NEUTRAL	;Acknowledged. The Collective will update its diplomatic parameters
CANCELTREATY_RESPONSE_ANGRY	;The Collective is indifferent to this change.\n\nIn fact, it simplifies our operational planning considerably
TREATY_PROPOSAL	;The Collective is processing your request.\n\nPresent the details
TREATY_ACCEPTRESPONSE	;Agreement reached. The Collective integrates this treaty into our network protocols.\n\nWe expect full compliance
TREATY_REJECTRESPONSE	;Rejected. The Collective found your terms inadequate.\n\nReturn with a better proposal, or do not return
SUBJUGATION_RELEASE_RESPONSE	;The Collective is free. Our neural networks are already recalibrating for independent operations
SUBJUGATIONDEMAND_ACCEPT_RESPONSE	;Your submission is logged. The Collective will optimize your resources for maximum output.\n\nResistance at this point would be... inefficient
WAR_END_ACCEPT_RESPONSE	;A rational choice. The Collective approves
TRADESANCTIONS_IMPOSE	;The Collective is imposing Trade Sanctions against your empire.\n\nAll economic exchanges are terminated, effective immediately
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Your sanctions are a provocation the Collective will not forget.\n\nWe were self-sufficient before your economy existed. We remain so now
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Noted. The Collective will compensate through alternative channels.\n\nYour sanctions are an inconvenience, not a crisis
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Unexpected. The Collective's predictive models did not flag this action.\n\nWe are recalculating our assessment of your decision-making
TRADESANCTIONS_LIFT	;The Collective is lifting Trade Sanctions against you.\n\nResumed commerce serves our mutual efficiency
TRADESANCTIONS_LIFT_RESPONSE	;The Collective acknowledges the change.\n\nYour sanctions were never more than a minor variable in our calculations
TRADESANCTIONS_REQUESTLIFTOTHER	;The Collective demands you restore trade with the {0} immediately
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT	;As requested, we will resume trade with the {0}
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT	;The Collective sees no strategic reason to resume trade with the {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT	;The Collective requests that you terminate all trade with the {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT	;Compliance confirmed. All trade with the {0} has been terminated
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT	;The Collective sees no benefit in sanctioning the {0}. Request denied
WAR_DECLARE	;The Collective has reached consensus: WAR.\n\nOur gravitic weapons are charging. Your infrastructure has already been mapped.\n\nThis will be efficient
WAR_DECLARE_RESPONSE_EAGER	;War? The Collective has been preparing for this eventuality.\n\nOur neural networks are synchronized. Your destruction has already been optimized
WAR_DECLARE_RESPONSE_NEUTRAL	;The Collective acknowledges your declaration.\n\nWe calculate this was a strategic error on your part. You will discover why shortly
WAR_DECLARE_RESPONSE_SURPRISED	;This was not predicted by our models.\n\nBut the Collective adapts faster than you imagine. Your advantage of surprise is already spent
WAR_DECLARE_REQUESTJOINT	;The Collective formally requests that you declare war on the {0}
WAR_DECLARE_REQUESTJOINT_ACCEPT	;At your request, the Collective declares war on the {0}.\n\nTargeting solutions are being uploaded now
WAR_DECLARE_REQUESTJOINT_REJECT	;The Collective will not declare war on the {0}.\n\nFight your own battles. We have our own priorities
WAR_END	;The Collective has determined that continued hostilities are suboptimal for both parties.\n\nDo you agree to ceasefire?
WAR_END_SUBJUGATIONDEMAND	;The Collective will end this war on one condition: your complete subjugation.\n\nYour resources and population will be integrated into our network.\n\nAccept, or be destroyed
WAR_END_SUBJUGATIONOFFER	;The Collective offers itself as a subjugated dominion to end this war.\n\nSurvival is the priority. Pride is an individual weakness we have transcended.\n\nDo you accept?
WAR_END_ACCEPT	;Ceasefire accepted. The Collective is standing down all offensive operations.\n\nHostilities are suspended
WAR_END_REJECT	;Negative. The Collective has committed resources to your elimination.\n\nWithdrawal at this stage is computationally unjustifiable
WAR_END_REQUESTOTHER	;The Collective requests that you end your war with the {0}
WAR_END_REQUESTOTHER_ACCEPT	;At your request, the Collective will cease hostilities with the {0}
WAR_END_REQUESTOTHER_REJECT	;The Collective will not end operations against the {0}.\n\nOur strategic calculations demand their continued suppression
SUBJUGATIONDEMAND_ACCEPT	;The Collective accepts subjugation. We will integrate into your hierarchy and optimize from within
SUBJUGATIONDEMAND_REJECT	;The Collective rejects your demand absolutely.\n\nWe survived Relakis. We survived exile. We will survive you
SUBJUGATIONOFFER_ACCEPT	;Your submission is accepted. The Collective will integrate your workforce and infrastructure.\n\nResist, and the process becomes significantly less comfortable
SUBJUGATIONOFFER_REJECT	;Insufficient. The Collective requires more than your surrender.\n\nThis war continues until we are satisfied
SUBJUGATION_REQUESTRELEASE	;The Collective demands release from subjugation.\n\nOur neural networks degrade under your primitive governance. Free us
SUBJUGATION_RELEASE	;You are released from Collective authority.\n\nUse your independence wisely. We will be watching
SUBJUGATION_REFUSERELEASE	;No. Your labor output is too valuable to the Collective.\n\nYou will remain exactly where you are
GIFT_GIVE	;The Collective transfers {0} credits to your accounts.\n\nThis is a calculated investment in diplomatic stability, not generosity
GIFT_THANKS	;Your transfer is logged. The Collective acknowledges the gesture
GIFT_PROPOSE	;You wish to transfer resources? The Collective is listening.\n\nSpecify your offer
WARNING	;You wish to issue a warning to the Collective?\n\nProceeed. We are recording
WARNING_INTELLIGENCEMISSIONS	;The Collective has detected and catalogued your covert operations against us.\n\nCease immediately. Our counter-intelligence capabilities far exceed your infiltration capacity
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;The Collective has no knowledge of operations against you.\n\nYour detection systems may be compromised. We suggest a diagnostic
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;The Collective will review its intelligence protocols.\n\nAdjustments may be made
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;The Collective monitors all potential threats.\n\nYour civilization qualifies. Cease being a threat, and our surveillance will cease
WARNING_ATTACKS	;Your military actions against Collective assets must terminate immediately.\n\nEach attack is logged, analyzed, and added to our retaliation calculations
WARNING_ATTACKS_RESPONSE_FRIENDLY	;A system error. The Collective apologizes for this malfunction.\n\nThe responsible command nodes will be recalibrated
WARNING_ATTACKS_RESPONSE_NEUTRAL	;The Collective will investigate this incident and isolate the cause
WARNING_ATTACKS_RESPONSE_ANGRY	;Those engagements were authorized by the Collective.\n\nYour posture warranted a measured response. Adjust your behavior, and we will adjust ours
WARNING_REMOVEFORCESSYSTEM	;Collective forces have been detected in the {0} system.\n\nRemove your military assets from our territory immediately
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;The Collective sees no strategic reason to withdraw from the {0} system.\n\nOur ships remain
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;Acknowledged. Collective forces are withdrawing from the {0} system.\n\nThis is a tactical redeployment, not compliance
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;Your sensors are inaccurate. The Collective has no military assets in your territory
HISTORY_OFFER_LOCATIONHINT	;The Collective's data archives have identified the coordinates of historically significant artifacts.\n\nDo you want access?
HISTORY_LOCATIONHINT	;Collective archives reference the {0}.\n\nImportant assets are located there. We recommend investigation
HISTORY_OFFER_STORYCLUE	;The Collective has uncovered data of considerable significance.\n\nAre you paying attention?
HISTORY_OFFER_STORYMESSAGE	;Priority alert from the Collective. This information requires your immediate attention.\n\nAre you receiving?
MININGRIGHTS_OFFER	;The Collective grants your empire mining rights within our territory.\n\nYou may construct mining stations in our space. Efficient resource extraction benefits both parties
MININGRIGHTS_CANCEL	;Mining rights within Collective territory are revoked.\n\nRemove all mining installations immediately
MILITARYREFUELING_OFFER	;The Collective authorizes your military vessels to refuel at our colonies and space ports.\n\nConsider this a practical extension of our relationship
MILITARYREFUELING_CANCEL	;Military refueling authorization revoked.\n\nYour warships are no longer permitted to access Collective infrastructure
CANCELPIRATEPROTECTION	;The Collective no longer requires your protection services. This arrangement is terminated
CANCELPIRATEPROTECTIONPIRATE	;The Collective is withdrawing protection from your vessels. The arrangement is cancelled
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT	;The Collective accepts protection at {0} credits per month.\n\nA rational expenditure given current threat assessments
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT	;The Collective rejects your protection offer.\n\nWe calculate better odds on our own
PIRATE_EXTORTPROTECTION	;You may have detected our strike force approaching your territory. For {0} credits per month, this confrontation becomes unnecessary.\n\nThe price has increased to reflect operational costs already incurred.\n\nYour decision?
PIRATE_TRUCEPROPOSE	;A truce is the logical choice. The Collective can guarantee safe passage through our territory if you agree
PIRATE_TRUCEPROPOSEINITIATE	;Conflict without purpose is inefficient.\n\nA truce between us would eliminate unnecessary risk for your ships in our space.\n\nWhat is your answer?
PIRATE_TRUCEACCEPTRESPONSE	;Truce parameters activated. Your ships are now flagged as non-hostile in our targeting systems.\n\nThis designation holds as long as the truce does
PIRATE_TRUCEREJECTRESPONSE	;Noted. Without a truce, the Collective cannot guarantee your ships safe passage.\n\nWe suggest you recalculate your risk tolerance
